
id season_id game_number date home_team visiting_team home_goal_count visiting_goal_count periods overtime shootout status game_status venue_name venue_location attendance
107 5 3 2024-12-01T17:00:00-06:00 2 4 3 4 4 1 0 4 Final OT Xcel Energy Center Saint Paul, Minnesota 8022
108 5 4 2024-12-03T19:00:00-05:00 5 6 3 2 3 0 0 4 Final TD Place Ottawa, Ontario 6451
109 5 5 2024-12-04T19:00:00-05:00 1 2 1 2 3 0 0 4 Final Tsongas Center Lowell, Massachusetts 3811
110 5 6 2024-12-04T19:00:00-05:00 3 4 1 4 3 0 0 4 Final Place Bell Laval, Québec 5415
111 5 8 2024-12-07T14:00:00-05:00 6 2 3 6 3 0 0 4 Final Coca-Cola Coliseum Toronto, ON 7584
112 5 9 2024-12-08T16:00:00-05:00 1 4 4 2 3 0 0 4 Final Tsongas Center Lowell, Massachusetts 4003
113 5 10 2024-12-17T19:00:00-05:00 1 5 3 2 3 0 0 4 Final Tsongas Center Lowell, Massachusetts 2854
114 5 11 2024-12-18T19:00:00-05:00 4 6 4 2 3 0 0 4 Final Prudential Center Newark, NJ 2851
115 5 12 2024-12-19T19:00:00-06:00 2 5 5 2 3 0 0 4 Final Xcel Energy Center Saint Paul, Minnesota 4686
116 5 13 2024-12-21T14:00:00-05:00 6 3 3 4 4 1 0 4 Final OT Coca-Cola Coliseum Toronto, ON 8251
117 5 14 2024-12-22T12:00:00-05:00 4 2 3 4 4 1 0 4 Final SO Prudential Center Newark, NJ 2722
118 5 15 2024-12-27T19:00:00-05:00 6 1 4 2 3 0 0 4 Final Coca-Cola Coliseum Toronto, ON 8264
119 5 16 2024-12-28T13:00:00-06:00 2 3 2 3 3 0 0 4 Final Xcel Energy Center Saint Paul, Minnesota 8726
120 5 17 2024-12-29T13:00:00-05:00 4 5 1 3 3 0 0 4 Final Prudential Center Newark, NJ 2946
121 5 18 2024-12-30T19:00:00-05:00 3 1 3 1 3 0 0 4 Final Place Bell Laval, Québec 10172
122 5 19 2024-12-31T19:00:00-05:00 6 5 1 2 3 0 0 4 Final Coca-Cola Coliseum Toronto, ON 8278
123 5 20 2025-01-02T18:30:00-06:00 2 1 4 3 4 1 0 4 Final OT Xcel Energy Center Saint Paul, Minnesota 5066
124 5 21 2025-01-04T13:00:00-06:00 2 4 0 5 3 0 0 4 Final Xcel Energy Center Saint Paul, Minnesota 6414
125 5 23 2025-01-07T19:00:00-05:00 4 5 2 3 3 0 0 4 Final Prudential Center Newark, NJ 1569
126 5 24 2025-01-08T18:30:00-06:00 2 1 2 1 4 1 0 4 Final OT Xcel Energy Center Saint Paul, Minnesota 4248
127 5 26 2025-01-11T14:00:00-05:00 5 1 1 2 4 1 0 4 Final OT TD Place Ottawa, Ontario 8295
128 5 27 2025-01-12T12:00:00-05:00 4 6 1 0 4 1 0 4 Final OT Prudential Center Newark, NJ 3258
129 5 29 2025-01-14T19:00:00-05:00 5 6 2 4 3 0 0 4 Final TD Place Ottawa, Ontario 6526
130 5 30 2025-01-15T19:00:00-05:00 4 2 3 2 4 1 1 4 Final SO Prudential Center Newark, NJ 1780
131 5 31 2025-01-17T19:00:00-05:00 3 2 4 2 3 0 0 4 Final Place Bell Laval, Québec 10172
132 5 33 2025-01-21T18:00:00-06:00 2 5 0 1 3 0 0 4 Final Xcel Energy Center Saint Paul, Minnesota 4165
133 5 34 2025-01-22T19:00:00-05:00 1 6 4 1 3 0 0 4 Final Tsongas Center Lowell, Massachusetts 3951
134 5 36 2025-01-26T14:00:00-06:00 2 1 5 2 3 0 0 4 Final Xcel Energy Center Saint Paul, Minnesota 7838
135 5 37 2025-01-27T19:00:00-05:00 5 4 0 3 3 0 0 4 Final TD Place Ottawa, Ontario 5629
136 5 38 2025-01-28T18:00:00-06:00 2 6 4 3 4 1 1 4 Final SO Xcel Energy Center Saint Paul, Minnesota 4540
137 5 39 2025-01-29T19:00:00-05:00 3 5 4 1 3 0 0 4 Final Place Bell Laval, Québec 6150
138 5 40 2025-01-30T19:00:00-05:00 3 6 4 3 4 1 1 4 Final SO Place Bell Laval, Québec 7242
139 5 41 2025-01-31T19:00:00-05:00 1 4 3 2 4 1 1 4 Final SO Tsongas Center Lowell, Massachusetts 5912
140 5 42 2025-02-01T14:00:00-05:00 6 5 4 2 3 0 0 4 Final Coca-Cola Coliseum Toronto, ON 8351
141 5 43 2025-02-02T13:00:00-05:00 4 3 1 2 3 0 0 4 Final Prudential Center Newark, NJ 4346
142 5 44 2025-02-11T19:00:00-05:00 6 2 3 2 4 1 0 4 Final OT Coca-Cola Coliseum Toronto, ON 8183
143 5 45 2025-02-12T19:00:00-05:00 4 1 0 4 3 0 0 4 Final Prudential Center Newark, NJ 1729
144 5 46 2025-02-13T19:00:00-05:00 5 2 8 3 3 0 0 4 Final TD Place Ottawa, Ontario 5854
145 5 47 2025-02-14T19:00:00-05:00 6 1 3 1 3 0 0 4 Final Coca-Cola Coliseum Toronto, ON 8124
146 5 48 2025-02-15T14:00:00-05:00 3 4 6 2 3 0 0 4 Final Place Bell Laval, Québec 10172
147 5 49 2025-02-16T13:00:00-05:00 1 2 4 2 3 0 0 4 Final Tsongas Center Lowell, Massachusetts 6032
148 5 51 2025-02-17T16:00:00-05:00 4 1 1 4 3 0 0 4 Final Prudential Center Newark, NJ 3715
149 5 52 2025-02-18T19:00:00-05:00 3 2 0 4 3 0 0 4 Final Place Bell Laval, Québec 6696
150 5 53 2025-02-19T19:00:00-05:00 4 6 1 4 3 0 0 4 Final Prudential Center Newark, NJ 1569
